id,name,brand,category,subcategory,description,format,target,price_eur,availability,stock_estimate,tags,bot_allowed
P041,Protector labial SPF30,Solara,solar,labial,Protector labial con fotoprotección.,4 g,adulto,5.70,disponible,14,labial;spf30,true
P042,Spray solar transparente SPF50,Solara,solar,corporal,Spray solar corporal transparente.,200 ml,adulto,23.20,disponible,6,spray solar;spf50,true
P043,Leche solar familiar SPF30,Solara Family,solar,corporal,Leche solar corporal de uso familiar.,250 ml,familiar,18.60,disponible,10,familiar;solar;spf30,true
P044,Desodorante roll-on suave,Dermia,higiene corporal,desodorante,Desodorante roll-on de uso diario.,50 ml,adulto,5.40,disponible,13,desodorante;suave,true
P045,Aceite de ducha,Dermia,higiene corporal,ducha,Aceite de ducha para piel seca.,500 ml,adulto,13.90,disponible,7,ducha;piel seca,true
P046,Espuma limpiadora facial,PureSkin,dermocosmetica,limpieza facial,Espuma facial de limpieza suave.,150 ml,adulto,11.80,disponible,9,espuma;limpieza,true
P047,Crema matificante facial,PureSkin,dermocosmetica,cuidado facial,Crema facial de acabado mate.,40 ml,adulto,16.90,disponible,5,mate;facial,true
P048,Sérum ácido hialurónico,PureSkin,dermocosmetica,serum facial,Sérum hidratante de textura ligera.,30 ml,adulto,22.40,disponible,8,hialuronico;serum,true
P049,Cepillo interdental mix,BocaClara,higiene bucal,cepillos,Set de cepillos interdentales surtidos.,6 ud,adulto,5.90,disponible,12,interdental;higiene bucal,true
P050,Hilo dental encerado,BocaClara,higiene bucal,hilo dental,Hilo dental encerado de uso diario.,50 m,adulto,3.80,disponible,20,hilo dental,true
P051,Protector pezón lactancia,MiniCare,bebe,accesorios maternidad,Protector de uso externo para lactancia.,2 ud,adulto,9.50,pocas_unidades,2,lactancia;accesorio,true
P052,Bolsa térmica infantil estampada,MiniCare,bebe,accesorios,Bolsa térmica con funda infantil.,1 ud,infantil,7.70,disponible,6,termica;infantil,true
P053,Agua termal spray,AquaZen,dermocosmetica,cuidado facial,Spray de agua termal refrescante.,300 ml,adulto,9.90,disponible,11,agua termal;refrescante,true
P054,Gel de aloe corporal,AquaZen,cuidado corporal,calmante,Gel corporal fresco con aloe.,250 ml,adulto,8.60,disponible,10,aloe;corporal,true
P055,Neceser viaje higiene,HigieLab,higiene,kits,Kit básico de higiene en formato viaje.,1 ud,adulto,12.10,disponible,4,viaje;kit,true
P056,Toallitas desinfectantes superficies,HigieLab,higiene,limpieza,Toallitas para limpieza de superficies.,40 ud,familiar,4.95,disponible,14,desinfeccion;superficies,true
P057,Protector diario algodón,CareIntim,higiene intima,protectores,Protectores diarios de algodón.,24 ud,adulto,4.30,disponible,13,algodon;diario,true
P058,Bálsamo reparador nariz y labios,RespiraPlus,bienestar,cuidado externo,Bálsamo reparador de uso externo.,15 ml,familiar,6.20,disponible,8,balsamo;externo,true
P059,Rodillo masaje facial,AquaZen,bienestar,accesorios,Rodillo facial para rutina cosmética.,1 ud,adulto,13.40,pocas_unidades,2,facial;accesorio,true
P060,Esponja maquillaje suave,PureSkin,dermocosmetica,accesorios,Esponja cosmética de textura suave.,1 ud,adulto,5.10,disponible,18,maquillaje;accesorio,true
P061,Crema corporal reafirmante,DermaLuz,cuidado corporal,hidratacion,Crema corporal de uso diario.,250 ml,adulto,15.60,disponible,7,reafirmante;corporal,true
P062,Pack viaje solar mini,Solara,solar,kits,Pack mini de fotoprotección para viaje.,1 pack,adulto,14.20,disponible,5,solar;viaje;pack,true
P063,Gel limpiador manos sin perfume,HigieLab,higiene,manos,Gel limpiador de manos sin perfume.,300 ml,familiar,4.60,disponible,16,sin perfume;manos,true
P064,Toalla microfibra secado rápido,MoveCare,bienestar,accesorios,Toalla ligera de secado rápido.,1 ud,familiar,11.20,disponible,9,microfibra;viaje,true
